============================================================
来源文件: xueshu_01.txt
============================================================
=== Sheet: Sheet1 (211x3) ===
吉林大学本科学生学科竞赛体系（2022） |  | 
序号 | 竞赛项目名称 | 评定等级
59 | *全国大学生交通运输科技大赛 | B*
60 | *蓝桥杯全国软件和信息技术专业人才大赛 | B*
61 | *全国大学生光电设计竞赛 | B*
62 | *全国大学生集成电路创新创业大赛 | B*
63 | *“中国软件杯”大学生软件设计大赛 | B*
64 | *中美青年创客大赛 | B*
65 | *RoboCom机器人开发者大赛 | B*
66 | *“大唐杯”全国大学生移动通信5G技术大赛 | B*
67 | *全国高校BIM毕业设计创新大赛 | B*
68 | *全国高校商业精英挑战赛-品牌策划竞赛、会展专业创新创业实践竞赛、国际贸易竞赛、创新创业竞赛 | B*
69 | *中国好创意暨全国数字艺术设计大寨 | B*
70 | 全国大学生不动产估价技能大赛 | C
71 | 全国大学生测井技能大赛 | C
72 | 全国高等学校大学生测绘技能大赛 | C
73 | 全国大学生GIS应用技能大赛 | C
74 | SuperMap杯全国高校GIS大赛 | C
75 | ESRI杯中国大学生GIS软件开发大赛 | C
76 | 全国高校GIS技能大赛（MAPGIS） | C
77 | 中国（国际）传感器创新创业大赛 | C
78 | “雄鹰杯”小动物医师技能大赛 | C
79 | “理律杯”全国高校模拟法庭竞赛 | C
80 | “贸仲杯”国际商事仲裁模拟仲裁庭辩论赛 | C
81 | 国际刑事法院（ICC）模拟法庭审判竞赛（英文） | C
82 | Philip C. Jessup杰赛普国际法模拟法庭大赛 | C
83 | 国际人道法（IHL）模拟法庭竞赛 | C
84 | 法兰克福国际投资模拟仲裁庭-贸仲中国（内地）赛 | C
85 | 美国大学生数学建模竞赛 | C
86 | 全国大学生英语竞赛 | C
87 | Uchallenge全国英语写作大赛 | C
88 | Uchallenge全国英语阅读大赛 | C
89 | 金蝶云管理创新杯互联网+管理应用大赛 | C
90 | IE亮剑全国大学生工业工程案例大赛 | C
91 | 中国“TRIZ”杯大学生创新方法大赛 | C
92 | 全国企业创新方法大赛 | C
93 | BICES中国-国际工程机械及专用车创意设计大赛 | C
94 | 机构与机器科学大学生国际奥林匹克竞赛 | C
95 | CCSP大学生计算机系统与程序设计竞赛(CCSP，The College Computer Systems & Programming Contest) | C
96 | 全国大学生物联网设计竞赛 | C
97 | CCPC中国大学生程序设计竞赛 | C
98 | 全国大学生计算机应用能力与信息素养大赛 | C
99 | 全国高校智能交通创新与创业大赛 | C
100 | 全国大学生农业建筑环境与能源工程相关专业创新创业竞赛 | C
101 | 全国大学生包装结构设计大赛 | C
102 | 德国红点奖 | C
103 | HONDA中国节能竞技大赛 | C
104 | 中国大学生巴哈越野汽车大赛 | C
105 | 国际企业管理挑战赛(Global Management Challenge, 简称GMC) | C
106 | 全国大学生金融投资模拟交易大赛 | C
107 | 全国高等院校企业竞争模拟大赛 | C
108 | “用友新道杯”全国大学生ERP沙盘模拟经营大赛 | C
109 | 全国高校密码数学挑战赛 | C
110 | 世界机器人大赛 | C
111 | 国际水中机器人大赛 | C
112 | 全国口译大赛 | C
113 | CCTV“希望之星”英语风采大赛 | C
114 | 全国高校俄语大赛 | C
115 | CCTV西班牙语大赛 | C
116 | 上海外国语大学CASIO杯中国大学生﹒研究生日语演讲、辩论大赛 | C
117 | 中华全国日语演讲比赛 | C
118 | "笹川杯"全国高校日本知识大赛 | C
119 | 中国人日语作文大赛 | C
120 | 多语种全国口译大赛 | C
121 | 笹川杯日本研究论文大赛 | C
122 | 全国大学生日语演讲及综合技能大赛 | C
123 | 纽约全美模拟联合国大会 | C
124 | 视友杯中国高校电视奖 | C
125 | 全国大学生主持人大赛 | C
126 | 时报金犊奖 | C
127 | One Show中华青年创意奖 | C
128 | 戛纳国际创意节戛纳幼狮中国区选拔赛 | C
129 | 靳埭强设计奖 | C
130 | 全球华语朗诵大赛暨“曹灿杯”朗诵大赛 | C
131 | 语文朗读大会 | C
132 | 夏青杯朗诵大赛 | C
133 | 中国大学生物理学术竞赛 | C
134 | 全国大学生水利创新设计大赛 | C
135 | 全国环境友好科技竞赛 | C
136 | 全国大学生电子设计竞赛嵌入式邀请赛 | C
137 | 全国大学生电气与自动化大赛 | C
138 | 国际大学生雪雕大赛 | C
139 | 全国高校企业价值创造实战竞赛 | C
140 | 全国大学生信息安全竞赛（信息安全作品赛；创新实践能力赛） | C
141 | “华为杯”中国大学生智能设计竞赛 | C
142 | 全国高校大数据应用创新大赛 | C
143 | 中国高校计算机大赛（微信小程序开发赛） | C
144 | 盼盼食品杯烘焙食品创意大赛 | C
145 | “三菱电机杯”全国大学生电气与自动化大赛 | C
146 | 全国高校海洋法模拟法庭邀请赛 | C
147 | 国际刑事法院（ICC）模拟法庭审判竞赛（中文） | C
148 | 金企鹅网络模拟法庭竞赛 | C
149 | 全国大学生化学实验创新设计竞赛 | C
150 | 北京国际电影节·大学生电影节 | C
151 | 中国国际大学生纪录片大赛 | C
152 | 全国大学生中华经典美文诵读大赛 | C
153 | 全国大学生有声阅读大赛 | C
154 | 今日头条新写作大赛 | C
155 | 中国数据新闻大赛 | C
156 | 《中国日报》（CHINADAILY）“大学新闻奖” | C
157 | 全国日语专业配音大赛 | C
158 | 韩素音国际翻译大赛 | C
159 | "俄罗斯文艺"文学翻译奖全球俄汉互译大赛 | C
160 | 全国校园冰雪创意设计大赛 | C
161 | 中国大学生广告艺术节学院奖 | C
162 | 模拟国际投资仲裁深圳杯（FDIMootShenzhen） | C
163 | “从法杯”全国大学生“法治中国”调研大赛 | C
164 | 全国大学生物流仿真设计大赛 | C
165 | 全国大学生人力资源管理知识技能竞赛（精创教育杯） | C
166 | 全国大学生房地产策划大赛 | C
167 | 全国大学生数智人力大赛 | C
168 | “尖烽时刻”全国商业模拟大赛（“尖烽时刻”全球商业模拟赛中国选拔赛） | C
169 | “我心中的思政课”——全国高校大学生微电影展示 | C
170 | 全国大学生化工实验大赛 | C
171 | 全国大学生化工安全设计大赛 | C
172 | 中国国际飞行器设计挑战赛 | C
173 | SAE国际航空设计大赛 | C
174 | 中国壳牌汽车环保马拉松挑战赛 | C
175 | 中国优秀工业设计奖 | C
176 | 中国大学生无人驾驶汽车大赛 | C
177 | 好设计 | C
178 | 全国机械工业设计创新大赛 | C
179 | 中国制冷空调行业大学生竞赛 | C
180 | 上汽设计国际汽车设计大赛 | C
181 | 全国大学生焊接创新大赛 | C
182 | “天食杯”食品研究与开发创新创意大赛 | C
183 | 全国大学生机器人大赛（ROBOCOM） | C
184 | 无人飞行器智能感知技术竞赛 | C
185 | 全国高校网安联赛XNUCA | C
186 | 全国大学生FPGA创新设计竞赛 | C
187 | 中国大学生计算机博弈大赛 | C
188 | 全国大学生土地国情调查大赛 | C
189 | 全国大学生国土空间规划技能大赛 | C
190 | 全国大学生自然资源科技作品大赛 | C
191 | 全国油气地质大赛 | C
192 | “创新杯”全国大学生地球物理知识竞赛 | C
193 | 中国虚拟现实大赛 | C
194 | “中科星图杯”国际高分遥感图像解译大赛 | C
195 | 全国大学生测绘创新开发大赛 | C
196 | 全国大学生工程地质创新实践大赛 | C
197 | 国际大学生钻探机器人大赛 | C
198 | 水科学数值模拟创新大赛 | C
199 | 全国大学生市政环境类创新实践能力大赛 | C
200 | 全国虚拟仪器设计大赛 | C
201 | 全国高校电力电子应用设计大赛 | C
202 | 全国大学生植物保护专业能力大赛 | C
203 | 全国青年科普创新实验暨作品大赛 | C
204 | 全国农科学子创新创业大赛 | C
205 | 全国大学生动物科学专业技能大赛 | C
206 | 全国高校军事课教学展示比赛 | C
207 | 国际青年人工智能大赛 | C
其中序号47-69竞赛评定等级为B*，属于B类竞赛培育项目，原则上学校暂不予以差旅费、运输费及竞赛材料费等支持，其他视同为B类竞赛项目。 |  | 

============================================================
来源文件: xueshu_02.txt
============================================================
--- 第1页 ---
学术科研白皮书
高顿去保研出品

--- 第2页 ---
目录
CONTENTS
第一篇：本科生升学路径
第四篇：论文和论文发表
1、大学生升学路径对比
2、国内升学路径详解
1、论文/论文发表是什么
3、海外海外升学路径详解
本科⸺直博
本科⸺硕博连读
本科⸺硕士⸺博士（申请-考核制度）
·
·
·
什么是论文？
什么是论文发表？
·
·
2、国内外论文等级及检索全解析
国际论文检索等级：SCI、SSCI、EI、CPCI、SCOPUS
国内论文检索等级：国家级期刊、省级期刊、北大核心、南大
核心
·
·
本科⸺直博
本科⸺硕博连读
本科⸺硕士⸺博士（申请-考核制度）
·
·
·
第二篇：科研是什么
1、科研相关概念
2、大学生获得科研经历的途径
3、科研能力模型
科研是什么？
做科研有什么优势？
做科研有什么意义？
·
·
·
第三篇：科研的重要性
1、科研对【国内保研】的帮助
本校保研资格获取政策解析&求胜宝典
外校保研接受条件政策分解&制胜秘籍
·
·
2、 科研对【国内考研】的帮助
考研政策大环境和趋势解析
考研复试加分秘籍
·
·
3、科研对【国内读博】的帮助
直博
申博
·
·
4、科研对【出国留学】的重要性
出国留学竞争趋势分析
名校录取率拆分：软实力+硬实力
科研助力名校申请成功率
·
·
·
竞赛类
校内科研
校外科研
·
·
·
3、期刊论文和会议论文
期刊论文和会议论文的区别
·
4、期刊论文
通用期刊含金量分级
判断期刊是否靠谱的方法
判断期刊含金量的方法
期刊发表注意事项
期刊发表流程&期刊投稿收录流程
·
·
·
·
·
5、会议论文
学术会议含金量分级
会议论文发表流程（以国际会议论文为例）
·
·
第五篇：论文写作必备知识点
1、学术论文常见类型
研究型论文、综述性论文、方法型论文、讨论型论文
·
2、最基础的论文研究方法
文献研究法、案例分析法、问卷调研法、访谈法、比较分析法
·
4、基本文献检索网站介绍
5、科研宝藏软件⸺数据分析与绘图
6、高含金量的学术科研项目需要具备的要素
3、论文的基本结构
题目Title
作者信息 Author(s)
摘要及关键词Abstract and keywords
引言Introduction
文献综述Literature review/ Related works
主体Body
结果发现Results and discussion
总结Conclusion
参考文献References/Bibliography
·
·
·
·
·
·
·
·
·
·················· 02
····················· 04
··············· 07
··························· 12
········· 13
············ 21
··········· 25
············ 29
········· 31
···························· 39
················· 40
····························· 42
············································· 43
············································· 49
································ 52
·························· 53
··································· 54
·························· 56
············ 57
·· 58
··························· 18

--- 第3页 ---
本科生升学路径
Part 1 
公众号：清北保研路

--- 第4页 ---
大学生升学路径对比   |   02
大学生升学路径对比
COMPARISON OF COLLEGE STUDENTS' ENTRANCE PATHS
大学生国内升学的3种途径
途径
途径1: 本科直博
大学生升学路径
国内升学
海外升学
本科⸺直博
本科⸺硕博连读
本科⸺硕士⸺博士（申请-考核制度）
国内本科⸺海外直博
国内本科⸺海外硕士⸺海外博士
海外本科⸺海外硕士⸺海外博士
途径2: 本科+硕博连读
途径3: 本科⸺硕士⸺博士
（申请-考核制度）
优势
劣势
① 直接攻读博士学位节省时间，直博约5 年
② 只占用导师博士研究生的名额，且入学
即可按照博士生标准发补贴和奖学金
③ 不用参加硕士答辩，因为没有硕士学位
① 研二选拔优秀硕士生攻读博士学位，
研三可跳到博一
② 如果博士无法顺利毕业，可以申请转硕
③ 时间较短，约5-6 年（1 年硕+4 年博或
2 年硕+3 年博）
④ 有选择新研究方向的机会
① 只要满足学校的报名条件就可以报考
② 读完一个阶段可以选择学校、导师
③ 研究生招生规模持续增长，近10 年来，
硕士研究生招生规模年均增幅达到6%
① 仅推免生可以参与直博选拔，招生专业
为国家重点学科
② 如果直博没有获得博士学位证只有本
科学历，压力比硕博连读大，不能换学校/
导师，退学率不低
申请硕士占用导师硕士的招生名额，成为
博士占用导师博士名额，因此导师挑选学
生较谨慎，保研学硕名额少
① 时间长，本硕博读完共约10-13 年，比
其他方式多1-4 年
② 考研竞争激烈：2021 年，考研报考人
数377 万，较2020 年341 万增加36 万，
增幅10.6%，报考人数再创历史新高
③ 若想保研，门槛较高，通常院校越好保
研比例越高
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第5页 ---
大学生升学路径对比   |   03
大学生国内升学的3种途径
途径
途径1：
国内本科⸺海外直博/港澳台研究生
途径2：
国内本科⸺海外硕士⸺海外博士
途径3：
海外本科⸺海外硕士⸺海外博士
优势
劣势
① 三者中费用最低
② 整体攻读时间较短，仅需7年左右
③ 回国认可度很高
① 攻读时间约9年，循序渐进，容易适
应环境
② 有利于拓展国内外人脉资源
③ 回国高校就业认可度较高
① 攻读时间较短，时间约5-9.5年，最
快5年毕业
② 有利于积累国外的人脉资源，接触最
先进的科研设备
① 对学生综合素质（学习能力、独立
性、科研能力等）要求高
② 大一就得准备
① 时间较长，共需9年左右
② 英国、新加坡、香港等地名校对本
科院校背景较严
① 费用高昂
② 较难有国内学术界的人脉资源
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第6页 ---
国内升学路径详解   |   04
国内升学路径详解
DETAILED EXPLANATION OF THE PATH OF ENTERING A HIGHER SCHOOL IN CHINA
大学生国内升学途径1：本科⸺直博
直博项目
申请条件
考核方式
申请难度
博士点
教学方式
所需费用
毕业出路
必须是推免生，保研名单确定是由学生本人申请，院系推荐小组对候选人逐个考核，最后经教务处和
研究生院审核批准。
推荐免试研究生根据综合考核成绩按院（系）或专业排序，择优选拔。考核人数与学校下达免试生的
限额比例为1：1.5。推荐免试生的综合考核成绩按平时成绩70％＋推荐考核成绩30％计算。平时成绩
为前三年必修课及专业选课按学分加权平均学分绩和奖励分之和
基本录取的都是985/211本科，比如北大今年本科直博经济学院、光华管理学院金融学的学生本科均为
985/211，全国推免生中可直博北大约1.67%（1400/83800）。（教育部出台，要求有研究生院的高
等学校，保送研究生名额一般按该校应届本科毕业生数的15%左右确定，同时对未设立研究生院的
“双一流”高校，要求一般要按应届本科毕业生数的5%左右确定。）
除985/211及双一流外，以下五个领域高校有博士点：
1、军事院校：军事院校不参与地方高校评比，除了入选了双一流的国防科大、空军军医大学、海军军
医大学，其余绝大部分的军事院校，也都是具有博士授权点的。
2、医药类高校：省级的医科大学，基本上都有博士点，而到了地市这个层面，有没有博士点，往往和
经济发展和人口数量密切相关。
3、农业类高校：一般省属的农业大学，都是具有博士点的，无论它是否入选了双一流。
4、师范类高校；除了入选了双一流的10大师范类高校，教育部六大师范大学以及华南师大、湖南师
大、南京师大、首都师大四所省属师范大学；其它没有入选的省属师范大学，基本上也都是具有博士
点的。
5、工科类高校；尤其是一些省属的理工大学，工业大学，很多都是有博士点的。
直博基本学习年限为5年，需跟着导师的研究方向做项目。
一般每年学费1万元，合计5万元起，但也会发相应的补贴，比如自然科学类博士研究生助研津贴不低
于6000元/年，社会科学类博士研究生助研津贴不低于4800元/年。另外如获得国家奖学金，奖励标准
为每人30000元/年。
高校大学教授、相关方向的研究院、互联网公司研究部、选调生等。
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第7页 ---
大学生升学路径对比   |   05
ACADEMIC RESEARCH WHITE PAPER
申请条件
考核方式
博士点
教学方式
所需费用
毕业出路
大学生国内升学途径2：本科⸺硕博连读
可以是推免生或者通过考研入学的同学，至少完成研一的学习且表现优秀，根据成绩和考核决定是否可转
入博士，可能需要参加下一年的博士入学考试。
给本单位已完成规定课程学习，成绩优秀，且具有较强创新精神和科研能力的在学硕士生中择优遴选博士
生，国内约352 所高校有博士点，大多有博士授予点的大学都可以硕博连读，申请难度较难。
除985/211 及双一流外，以下五个领域高校有博士点：
1、军事院校：军事院校不参与地方高校评比，除了入选了双一流的国防科大、空军军医大学、海军军医大
学，其余绝大部分的军事院校，也都是具有博士授权点的。
2、医药类高校：省级的医科大学，基本上都有博士点，而到了地市这个层面，有没有博士点，往往和经济发
展和人口数量密切相关。
3、农业类高校：一般省属的农业大学，都是具有博士点的，无论它是否入选了双一流。
4、师范类高校；除了入选了双一流的10 大师范类高校，教育部六大师范大学以及华南师大、湖南师大、
南京师大、首都师大四所省属师范大学；其它没有入选的省属师范大学，基本上也都是具有博士点的。
5、工科类高校；尤其是一些省属的理工大学，工业大学，很多都是有博士点的。
直博基本学习年限为5 年，需跟着导师的研究方向做项目。
一般每年学费8000-10000 元，合计5 万元起，但也会发相应的补贴，比如自然科学类博士研究生助研津
贴不低于6000 元/ 年，社会科学类博士研究生助研津贴不低于4800 元/ 年。另外如获得国家奖学金，奖
励标准为每人30000 元/ 年。
高校大学教授、相关方向的研究院、互联网公司研究部、选调生等。
硕博连读项目
公众号：清北保研路

--- 第8页 ---
大学生升学路径对比   |   06
大学生国内升学途径3：本科⸺硕士⸺博士（申请-考核制度）
本科⸺硕士⸺博士
升学方式
硕士
考研
保研
专硕
学硕
常规保研
科研保研
申博
申博
博士
（主要是培养学术研究人才，可以通过自己的导师直接读博，不用参加全国统考。）
升学门槛
（主要是培养应用型人才，不能申请本硕连读，硕士毕业后进行考博，具体情况请咨
询招生单位。）
决定因素：1、是能否争取到本校保研名额；2、能否争取到对方院校申请的OFFER。
硬性指标：1、成绩排名，一般985要求成绩专业排名前20％，211院校专业前10％，
双非院校根据本专业的学科特点一般前2-5名希望较大（且所有课程无不及格、补考
或重修记录）；2、四级通过是必须的，很多院校也会将通过六级作为筛选门槛。
其他情况：学术科研能力及其他综合能力。1、学术能力看过往是否发表过高质量论
文，或者是否有专业性强的专利等。该项是第二大考察项，在综合得分中所占的比重
偏大。2、综合能力一部分针对大学竞赛，比如是否参加过大型校级及以上的比赛并
取得相应的成绩，如大学生数学建模大赛等；另一部分会考察同学获得的一些荣誉称
号，比如“优秀学生干部”等，通过这几部分综合考察、打分，每个学校具体的考核
内容及侧重点会有差别。目标院校导师筛选同学，除成绩外，比较看重的还有报名同
学的院校及科研能力。院校背景信息是第一印象，对于双非院校的同学，尽可能在科
研和学科竞赛方便有足够的优势，争取保研。
与正常的保研区别在于不那么看重绩点，在大部分的学校中名额都会很少。
硬性指标：1、核心期刊论文（如：SCI一作论文）；2、国家级大创结题；3、获得
发明专利。三者取一即可，主要看学校的要求。
国内顶尖名校的博士都是采用考核申请制，以TOP2高校为例，共有5项考核数据
学术背景（主要教育背景是否985/211）
硕士研究生期间的工作（SCI论文等级和数量等科研成果）
综合能力（在校期间的各种荣誉）
专家推荐（是否有业内大牛的推荐至关重要）
博士科学研究计划（自己需提前联系的博导方向）
综合实力强的硕士研究生有机会获得免试的资格
考核要求：至少3个A或以上且在5项数据中不得有C和D项的出现，如果有那么就直接
被PASS掉，无法进复试
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第9页 ---
海外升学路径详解   |   07
海外升学路径详解
DETAILED EXPLANATION OF OVERSEAS STUDY PATH
大学生海外升学途径1：国内本科⸺海外直博
英国
加拿大、美国
澳大利亚
香港、新加坡
申请难度
所需费用
教学时长
准备事项
全奖 > 半奖 > 自费；难度
较高因为香港一般录取后
都有奖学金
香港新加坡一年2 0 - 3 5
万，相对比较亲民
博士最低学制一般3-4年
名校需好学校+高绩点，
但整体比美国、新加坡容
易申请
仅不到10%可成功申请全奖
博或CSC，人文社科学费较
低，总费用约60-100万
美国理工科PHD项目基本
可以全奖；美国费用约
100-150万
只接受本科学制4年的申
请，一般博士项目3-4年
较难
约100万
一般为5年的博士申请项目
博士最低学制一般3-4年
985/211学校均分至少85以上，托福92+
其他要求：发表学术论文、参与学术会议、有学术推荐信、参与海外学术交流项目、撰写RESEARCH PROPOSAL
申请较其他国家容易
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第10页 ---
海外升学路径详解   |   08
ACADEMIC RESEARCH WHITE PAPER
大学生海外升学途径2：国内本科⸺海外硕士⸺海外博士
加拿大、美国
授课型
申请难度
所需费用
教学方式
毕业出路
除绩点、英语能力外，看重实习+文书
本科读完申请国外的研究生，分为学术型研究生及授课型研究生。
比研究型相对容易
以上课或者实践为主，修满学分即可毕业
学费较贵，奖学金较少
主要以就业为主，如果有发表论文或者均分
高+研究计划书写得好也可以申博
硕士读完申请国外的博士的，要求如下：
1、硕士学位证明。证明材料包括成绩单、学位证书、毕业证书等。成绩越好越有机会申请
2、个人陈述:通过简短的描述，直观地向导师和校方说明自己的学科背景、研究方向、研究经历、研究计划、所获荣誉以及对
申请导师的向往理由。
3、最有力的证明当然是项目研究成果和有分量的论文
4、研究提案:言简意赅的说明关注领域的研究现状、自己的研究内容、研究目标和研究方法，重点突出课题的新颖性和研究价值。
5、2-3封推荐信。至少有一封是学术推荐信，推荐内容要涵盖申请人的成绩、科研能力、品格精神、学术成就等内容，一般要
求是打印在专用信笺纸上，并且本人签字署名才有效。
除绩点、英语能力外，看重论文+研究计划书
比授课型难，港前三、新加坡前二要求
985/211学校GPA85+
跟着导师做项目，第一年与授课型类似，
第二年需要发PAPER，改稿子，开会等
学费较低，奖学金丰厚
申博较容易，尤其是本校
申请条件
公众号：清北保研路

--- 第11页 ---
海外升学路径详解   |   09
大学生海外升学途径1：国内本科⸺海外直博
英国
加拿大、美国
北欧五国
香港、新加坡
申请难度
所需费用
教学时长
全奖 > 半奖 > 自费；学术
型硕士更易申请博士
硕士一般一年25-35万
博士一年一般35-45万，
奖学金项目较多
硕士一般为1-2年
博士最低学制一般3-4年
成绩要求二等一学位以
上，但整体比美国、新加
坡容易申请
较难
仅不到10% 可成功申请
全奖博或CSC，人文社科
学费较低，总费用约
60-100 万
美国理工科PHD项目基本
可以全奖；一年约50-60
万
多为岗位制博士，并且
基本不收学费，只有几
百欧的注册费，工资标
准一般在2K-4K欧不等
因为是聘用制所以对于
科研实践能力非常看重，
没有科研论文就不太能
去，并且名额少，招聘不
固定。
一般为5年的博士申请项目
博士最低学制一般3-4年
一般博士项目3-4年
申请博士的步骤
1）进入课题组做实验，丰富自己的科研经历，需要一些较好的科研成果并总结成论文。这部分就看你学术成果的，发的论文
影响因子越高，期刊越好，含金量就越高；
2）申请的时候确定自己的条件是否达到目标院校的最低要求，具体要求在每个博士PROGRAM都能查到ENTRY REQUIREMENTS；
3）确定研究方向和可能存在的相关老师，查看老师是否有空缺学生名额；并可以试探性的发邮件问老师今年是否还招生；
4）准备研究提案写作；（这部分要求申请者在领域内拥有深厚的研究经验积累，形成连贯的学术逻辑和独到的学术见解，这
些内容需要通过大量的前沿学术论文阅览和长时间的项目研究投入获得）
5）准备PS、CV和推荐信（其中推荐信由你的研究生导师写会比较好）；
6）准备套磁；套中老师后，直接上网填写申请即可，后面可能会有面试，面试之后再考虑是否发OFFER；
7）准备入学，期间可以联系导师，询问相关书籍和阅读的事情；
ACADEMIC RESEARCH WHITE PAPER
公众号：清北保研路

--- 第12页 ---
海外升学路径详解   |   10
ACADEMIC RESEARCH WHITE PAPER
国内本科—海外升学 VS 海外本科—海外升学
总体而言，海外本科申请海外研究生要比国内容易很多
·区别一：英语。大部分海外高校规定，在英语为母语的国家读书2年或以上，并且获得本科学位的学生，可以免试托福雅思。
海外本科生无需考托福，有更多时间备战GRE，这是巨大优势。
·区别二：规划老师。在许多海外大学，本科生一入学就会被分配学业指导老师，会提供升学咨询，而国内这部分很弱。
·区别三：推荐人。申请国外大学时，通常都需要学生提供教师的推荐信。对海外本科的学生来说，这不是什么问题，因为老
师也是外国人，但对国内的学生而言，推荐信一般只能靠自己的中国老师来书写，要是老师知名度不是太高，就难以出彩。
·区别四：学校背景。本身就在海外大学念书的人，申请海外研究生自然也更容易，因为语言、文化和学校背景等都比较契
合，要是申请本大学的研究生，那就更容易了。
图为西交利物浦大学本科生的留学情况，这个学校高考只要考到一
本分数就可以了，但是属于一个英国认可的国外本科。他们QS排
名前十的学校有录取接近1000人，比清北加起来的都多。
排名
学校
5
人数
排名
学校
人数
8
10
19
20
27
31
牛津大学
帝国理工学院
伦敦大学学院
哥伦比亚大学
爱丁堡大学
曼彻斯特大学
伦敦国王学院
13
228
681
39
116
91
46
40
46
49
58
62
77
87
悉尼大学
昆士兰大学
伦敦政经
布里斯托大学
华威大学
格拉斯哥大学
伯明翰大学
97
22
106
29
161
51
26
公众号：清北保研路

--- 第13页 ---
科研是什么
Part 2 
公众号：清北保研路

--- 第14页 ---
科研相关概念   |   12
【科研】是什么？
做科研有什么优势？
英国
加拿大、美国
北欧五国
即科学研究：
·本质：为了认识客观事物的内在本质和运动规律而进行的调查研究、实验、试制等一系列的活动
·意义：为创造发明新产品和新技术提供理论依据
·涵盖面：科研涉及的专业领域相当广泛，从自然科学到社会科学，从基础研究到专业应用
做科研有什么意义？
ACADEMIC RESEARCH WHITE PAPER
准入门槛低
学生在不同的兴趣范围内，根据自己学习程度的不同，找到适合自己难度的课题，进行深入学习和探索
可探索空间大
所谓学无止境，同一个学科领域的深入探究是没有尽头，学生可根据自己的兴趣爱好方向进入深度挖掘
理论和实践结合
运用书本中的理论，结合现实世界问题，寻找挖掘最优解决方式，在不断的试错中找到发展的正确路径
分数不再是
